"","TCGA-44-2668-11A-01R-1758-07","TCGA-50-5936-11A-01R-1628-07","TCGA-44-2661-11A-01R-1758-07","TCGA-44-3398-11B-01R-1758-07","TCGA-44-6776-11A-01R-1858-07","TCGA-91-6831-11A-02R-1858-07","TCGA-50-5932-11A-01R-1755-07","TCGA-55-6984-11A-01R-1949-07","TCGA-44-2657-11A-01R-1758-07","TCGA-38-4627-11A-01R-1758-07","TCGA-69-7980-01A-11R-2187-07","TCGA-55-1592-01A-01R-0946-07","TCGA-55-7727-01A-11R-2170-07","TCGA-55-6972-01A-11R-1949-07","TCGA-49-AARE-01A-11R-A41B-07","TCGA-86-7713-01A-11R-2066-07","TCGA-55-7913-01B-11R-2241-07","TCGA-44-A47G-01A-21R-A24H-07","TCGA-44-2662-01B-02R-A277-07","TCGA-44-5645-01A-01R-1628-07"
"MAPK12",263,222,486,514,198,93,240,151,234,696,331,239,63,40,641,3106,3954,238,138,114
"TMEM215",1,2,0,3,2,1,1,0,3,7,38,9,55,11,22,22,98,7,8,1
"NUTM2G",12,6,9,10,3,6,1,16,9,7,22,41,11,6,11,16,34,17,24,1
"COL4A5",845,1143,2249,2203,1681,843,1006,2797,1119,992,1084,411,95,363,1500,6013,1872,192,406,1364
"KRTAP10-6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGRN",17191,9767,23920,22577,6814,3128,8336,20695,10889,6102,69330,22352,1492,5060,4711,37062,19660,27159,1102,12551
"NHS",181,99,267,273,199,87,194,286,166,101,915,1504,140,14,179,1400,380,832,942,2144
"OTOG",0,0,0,0,0,0,0,0,2,0,0,0,0,1,17,2,10,1,7,0
"FAM166A",1,1,0,3,4,0,1,9,0,0,4,10,1,3,19,11,6,8,3,4
"TMPPE",212,99,136,196,62,42,90,162,93,56,275,402,61,44,99,314,257,93,208,93
"ZNF626",201,331,454,447,243,118,237,462,372,271,4169,187,320,648,378,67,255,221,146,456
"HEPACAM2",4,10,3,23,17,2,1,23,3,2,12,138,1,4,5,118,0,3,8,18
"SMTNL2",98,103,184,507,91,55,145,205,90,176,342,192,8,8,68,38,20,52,5,32
"ZC3H6",469,781,778,1149,853,423,605,1347,717,326,620,1153,724,651,422,924,1415,916,1037,1046
"LINC00265",82,74,108,143,79,51,66,189,142,23,542,392,94,51,304,341,586,339,173,245
"LAMTOR4",2692,1506,2609,3625,1474,888,1083,4141,2965,5534,2178,6846,306,3006,3866,2695,3441,1817,131,2172
"PRKAR1B",1916,1244,2187,2079,706,731,551,2254,1448,866,1673,1040,128,859,493,867,2376,564,74,375
"NUTM2B",24,25,15,22,18,9,11,28,20,9,48,21,7,25,0,7,30,9,17,6
"NCR3LG1",220,80,77,420,86,58,72,172,77,33,100,208,56,0,30,34,655,57,423,57
"DCUN1D3",1969,1306,982,1957,1252,953,679,1381,704,1264,1103,1270,479,164,1322,604,533,1867,1346,856
"POTEE",3,0,5,5,2,0,0,1,3,1,7,30,0,0,9,2,4,1,5,2
"AD000671.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF793",83,122,220,195,168,82,119,205,133,70,1960,616,108,305,69,692,221,85,676,274
"TUBB4B",24061,6437,11519,18355,7857,3755,5265,20905,12455,9335,13471,13489,4518,9570,26415,31626,26828,7906,445,11159
"AGAP4",50,40,41,102,62,30,47,126,53,13,181,82,52,80,63,1562,300,124,92,51
"PP7080",1,0,4,11,5,2,0,2,2,1,13,17,3,5,9,5,9,24,26,6
"COMMD6",2012,1488,2570,4189,1591,1065,1162,4432,2510,4418,3216,5060,1495,2603,3684,1700,1460,1840,392,1977
"PLA2G2A",1385,20,981,10761,174,89,208,20,62,586,116,187,33,2,44,754,9,231,7,13
"IL17REL",42,2,2,6,0,3,0,5,105,1,12,72,5,0,96,7,108,21,4,163
"HYKK",88,84,118,164,96,44,86,210,100,84,175,336,184,243,464,4661,300,85,86,93
"OR7A5",0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,0,0,5,0
"C15orf62",84,22,92,119,34,17,33,148,86,23,319,197,33,14,103,142,161,100,66,134
"FAM230G",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,3,1
"RUFY4",11,8,25,15,14,14,0,19,61,4,91,30,42,11,247,46,57,152,7,70
"ZNF383",345,255,493,598,339,197,270,802,388,303,656,609,291,315,632,1635,437,275,365,323
"HES4",156,100,189,296,42,58,72,236,71,294,405,298,18,53,229,490,877,552,12,73
"IGFL1",0,2,1,2,0,0,0,0,2,0,0,7,0,0,1,0,0,0,2,0
"ZNF669",181,98,167,280,113,68,92,297,178,87,294,623,315,285,198,663,1293,93,74,309
"PEAK3",283,36,69,86,74,20,31,48,68,119,85,37,3,3,28,16,20,73,33,34
"LRRIQ4",6,1,3,12,14,1,2,10,3,4,43,32,4,3,23,23,259,8,5,21
"CENPP",135,74,118,218,106,63,53,67,76,79,188,218,79,27,228,117,439,128,271,69
"PLSCR1",5298,1752,2203,3825,1644,1978,1680,3070,2024,3850,10973,5674,2462,635,4037,3789,6170,3624,4296,1896
"OR7D1P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3orf62",393,199,319,472,263,133,227,736,229,135,422,517,147,188,334,1148,644,273,111,438
"ENO4",4,16,15,84,26,4,11,102,16,13,50,4,10,24,22,12,9,13,35,50
"ZNF559",333,458,674,830,521,262,406,905,460,507,392,901,375,218,513,495,664,205,343,676
"SBK1",170,256,349,551,161,44,126,380,304,90,5978,4660,432,178,6329,10278,2781,531,25,1229
"OR6C6",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0
"BSPH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SLC38A3",34,8,17,18,8,7,11,17,10,13,40,33,34,7,8,87,20,1,5,13
"OR6N2",0,3,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0
"GTF2F2",1036,612,852,1233,676,476,522,1276,820,982,1372,1881,527,739,1488,1498,1530,875,325,698
"CIBAR1",430,390,636,816,349,253,365,822,447,812,1148,842,657,203,358,801,1430,482,955,705
"FOCAD",2334,1289,2091,2602,1247,560,1080,2365,1453,1435,531,3450,1685,1718,1118,4255,3088,1490,2288,2312
"AC092171.1",1,0,1,2,2,1,1,2,0,0,3,9,1,0,7,12,22,1,48,2
"PRR19",32,15,42,30,4,5,7,13,50,32,146,112,18,50,286,135,141,37,8,26
"ZP3",83,102,179,236,73,6,24,79,78,16,229,384,87,194,1267,396,229,181,63,45
"C10orf99",1,1,0,16,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0
"H3-5",18,3,15,23,4,6,9,8,28,6,21,33,4,13,2,17,27,21,6,15
"IFNA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"GPAT2P2",1,3,3,4,6,0,0,4,2,3,20,25,1,5,5,5,2,5,1,2
"JAKMIP3",20,20,34,67,12,8,26,23,16,6,339,24,8,68,103,161,99,38,237,41
"PPP3R2",1,0,3,1,0,1,1,3,0,0,0,1,1,0,2,0,0,1,10,1
"GOLGA6L3",1,3,0,0,0,0,0,1,0,0,1,3,0,3,5,11,4,3,0,2
"PDCD1",216,51,51,114,21,35,8,34,816,78,475,65,14,5,178,58,101,420,6,149
"CLEC2A",0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,4,0
"GPR21",2,8,14,10,3,3,3,1,1,13,2,2,0,0,4,6,1,1,66,1
"TCTEX1D4",36,23,24,128,53,28,24,184,34,21,63,30,1,53,129,28,31,89,75,60
"ANKRD36P1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGHV1OR15-9",39,1,12,13,0,0,6,4,32,4,8,50,3,1,12,14,23,38,10,17
"SELL",2522,404,792,1655,248,675,352,420,5453,765,1276,682,1004,39,781,590,585,1948,317,2373
"MAGEB5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0
"CHM",1201,1030,1138,1653,914,764,869,1381,832,1252,1686,1474,1078,389,338,3172,2416,887,1126,1300
"NANOS2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"BLOC1S5",542,355,613,757,358,210,342,718,550,628,1064,1679,530,488,677,1710,917,462,340,570
"DEFB108F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4P1P",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0
"SRP72P2",1,0,5,3,0,1,1,4,6,0,4,10,4,2,19,3,11,3,132,0
"CERKL",4,8,18,161,63,2,17,125,40,10,126,36,35,3,12,745,247,348,35,129
"WASF4P",5,3,7,4,2,3,3,0,6,1,4,9,1,0,3,6,1,0,0,1
"ACTBP11",6,0,7,16,1,1,1,2,10,7,8,23,0,5,21,4,7,3,2,3
"SLC24A5",2,1,0,0,1,0,0,3,8,3,0,1,4,0,1,2,1,0,10,3
"IER5L",357,44,247,409,13,46,60,123,149,240,959,222,52,56,3242,412,855,382,18,143
"H2AX",1939,440,822,1262,316,231,291,1079,1361,1221,4208,4104,287,511,4333,2968,4246,1519,133,932
"INSC",23,71,47,100,50,20,46,28,21,175,7,8,2,3,7,4,7,9,8,3
"SERPINA5",57,4,41,46,9,7,17,14,241,66,34,13,8,1,8,0,5,74,22,29
"C19orf54",1270,885,1019,1193,975,330,653,1474,984,657,1804,1482,297,516,1956,1782,1746,462,101,701
"LCTL",2,0,2,6,2,0,1,6,0,0,24,12,12,6,39,26,23,6,36,13
"NCCRP1",72,18,32,13,6,8,4,17,206,6,1083,962,52,3,54,28,517,82,7,38
"KRTDAP",11,1,1,3,4,0,4,3,7,3,12,4,2,0,10,2,8,2,2,2
"C22orf34",322,152,205,388,108,127,134,92,149,272,75,115,12,9,33,19,22,67,131,36
"AF279873.1",1,0,2,0,0,0,1,2,4,0,2,2,1,5,1,1,3,2,0,2
"COL25A1",15,11,43,82,22,18,19,18,6,44,88,31,8,2615,3,7243,2853,13,34,12
"FAM83G",2367,347,780,1025,235,260,366,887,670,434,2438,1220,270,101,954,2934,2395,414,132,566
"CFAP77",18,55,51,817,189,1,35,762,160,39,128,4,16,1,168,8,3,44,9,439
