"","TCGA-44-2668-11A-01R-1758-07","TCGA-50-5936-11A-01R-1628-07","TCGA-44-2661-11A-01R-1758-07","TCGA-44-3398-11B-01R-1758-07","TCGA-44-6776-11A-01R-1858-07","TCGA-91-6831-11A-02R-1858-07","TCGA-50-5932-11A-01R-1755-07","TCGA-55-6984-11A-01R-1949-07","TCGA-44-2657-11A-01R-1758-07","TCGA-38-4627-11A-01R-1758-07","TCGA-69-7980-01A-11R-2187-07","TCGA-55-1592-01A-01R-0946-07","TCGA-55-7727-01A-11R-2170-07","TCGA-55-6972-01A-11R-1949-07","TCGA-49-AARE-01A-11R-A41B-07","TCGA-86-7713-01A-11R-2066-07","TCGA-55-7913-01B-11R-2241-07","TCGA-44-A47G-01A-21R-A24H-07","TCGA-44-2662-01B-02R-A277-07","TCGA-44-5645-01A-01R-1628-07"
"THCAT155",3,0,0,9,1,1,1,8,3,0,2,0,2,2,1,4,2,0,12,4
"AL020997.5",0,1,1,2,0,0,1,1,0,0,2,5,0,3,4,0,0,1,10,0
"AP001981.2",1,1,11,2,2,0,6,1,4,3,7,6,1,30,6,3,0,3,40,0
"AC022535.3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
"AL450423.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC009271.2",0,0,0,0,0,0,1,1,0,1,0,9,8,5,0,0,16,0,10,0
"AC005400.1",14,9,8,6,3,10,5,5,11,14,6,5,8,7,24,18,37,5,0,13
"AC073046.4",2,4,3,11,2,7,3,5,8,1,5,29,8,7,3,5,9,1,3,7
"AP003062.2",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
"AL009179.1",17,24,23,35,19,10,14,38,31,13,10,133,7,376,46,90,626,66,47,102
"Z98880.1",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0
"AC011509.3",0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
"AC007877.1",25,41,67,48,28,36,27,54,36,44,16,49,9,4,11,7,4,10,28,8
"AC137494.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC111182.2",1,0,3,1,1,0,0,2,0,0,1,0,0,0,1,5,6,0,56,1
"AL512283.2",0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,2,45,3
"AL359732.1",0,5,1,7,0,1,3,1,1,2,0,4,0,1,0,7,1,1,0,1
"AL357075.3",10,8,8,10,8,2,3,4,2,9,20,68,5,17,15,15,13,13,0,9
"AL139243.1",42,13,15,16,8,5,5,16,8,14,10,47,2,6,12,10,31,9,5,9
"AC021148.2",26,28,32,64,44,18,18,91,24,23,155,109,50,41,88,55,45,58,67,51
"AC008875.3",363,298,499,566,221,189,219,364,594,165,9494,1387,171,60,1711,253,1423,2163,314,870
"AP003778.1",1,6,10,11,12,1,1,5,4,1,18,18,9,19,10,2,45,5,21,8
"AL365272.1",16,3,12,18,7,15,11,8,76,16,54,18,16,46,44,54,45,139,21,30
"AL359813.2",4,7,10,16,1,3,2,11,12,1,2,21,7,2,1,2,0,2,0,8
"AC026523.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"AL050350.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0
"Z82215.1",2,1,6,4,2,1,2,15,2,1,7,4,2,0,6,12,4,0,158,5
"AL137140.1",17,8,18,17,22,29,21,49,4,0,5,7,4,2,7,43,34,12,140,1
"AC011455.8",47,23,35,44,25,17,23,67,53,37,253,237,20,35,37,8,160,77,10,52
"AC007786.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"AC132660.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL627232.1",0,0,1,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,56,0
"AC011451.4",1,2,1,9,4,1,1,6,0,1,1,41,20,1,15,1,5,3,16,4
"BX664718.2",3,1,0,4,0,1,4,2,1,9,1,4,3,1,1,1,43,4,6,4
"AL392086.3",0,2,3,5,1,3,1,2,1,0,7,7,1,2,2,0,7,6,72,2
"AL353600.2",1,0,0,26,0,0,4,1,0,12,0,0,0,0,0,9,1,7,2,5
"AL121932.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"AC009878.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC012101.2",4,5,5,32,3,11,6,14,3,13,5,6,0,0,2,2,195,0,6,9
"AL031726.2",0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,5,0,1,0
"AL117353.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0
"AC130814.1",0,1,0,2,1,0,0,2,0,0,4,4,6,0,2,1,2,6,23,0
"AP000547.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"AC024560.5",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,13,16,1,4,1
"AL133476.1",0,0,2,0,0,2,1,2,1,2,5,1,1,3,4,0,2,0,41,1
"AL121762.2",0,0,0,0,0,0,0,0,0,0,7,6,0,1,0,6,2,0,0,0
"AP000428.2",0,5,7,18,2,3,2,11,5,9,0,1,0,5,0,0,0,0,6,0
"AC093765.3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0
"AC068286.2",1,0,1,0,0,0,1,0,0,1,1,0,0,0,3,1,1,2,14,2
"AC002460.2",7,3,1,6,5,5,6,14,3,9,9,13,15,8,4,4,7,31,41,9
"AL357054.5",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL035694.1",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,2,1
"AC090812.1",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0
"AC011446.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL356123.1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC079768.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC012459.1",12,14,18,51,9,29,11,16,8,9,192,195,75,5,65,58,122,431,1903,31
"AL080275.1",1,1,1,0,2,0,0,1,0,0,2,5,0,0,2,1,2,12,160,0
"AC068075.2",0,1,3,0,0,0,0,5,0,0,0,2,1,0,0,0,1,0,4,0
"AL133477.2",0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,2,0
"AP006248.5",1,1,1,2,1,1,1,1,1,0,3,6,6,0,1,4,1,1,26,3
"AC010969.3",0,0,0,1,0,1,2,1,1,1,2,4,0,4,2,1,0,0,2,0
"AC016821.1",16,13,17,10,29,11,31,72,4,5,38,94,20,10,35,14,54,74,87,46
"AC005772.2",2,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,6,0
"AC018802.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"AL583859.3",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
"AL133445.3",0,3,1,2,2,1,3,1,2,1,8,3,2,5,1,1,0,2,0,2
"AC140121.1",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0
"AC127526.4",0,2,1,5,5,2,2,9,4,0,1,7,1,0,3,1,1,1,8,2
"AC016995.1",7,2,1,5,5,2,0,1,7,0,2,352,2,66,9,7,0,6,0,20
"AC090125.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"AL670729.3",15,21,37,62,68,9,38,59,32,4,32,420,84,68,408,91,3111,297,122,81
"AC007391.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
"AC016769.6",0,0,0,0,0,0,0,1,0,0,3,4,0,0,8,0,1,0,5,0
"AL353730.1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0
"AC079822.1",0,0,1,2,3,0,0,4,2,5,0,0,0,0,0,0,0,0,2,1
"AC110790.1",0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,0,0,0,42,0
"AC026523.4",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
"AC068189.2",0,0,1,5,0,0,0,2,3,0,5,19,6,2,11,10,5,1,97,0
"AC022100.1",1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0
"AL096828.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0
"AC138647.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0
"AL589787.1",0,0,0,2,0,0,0,0,0,0,18,1,1,0,0,0,0,1,6,0
"AL731769.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"AC135626.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FP326651.1",0,1,0,1,0,0,0,2,0,0,57,7,0,0,0,0,0,0,7,0
"AL353697.1",0,0,0,1,1,1,1,5,0,0,8,1,2,2,0,8,3,7,144,0
"AC106045.1",0,0,2,1,0,0,1,1,0,0,38,69,0,4,110,7,6,21,0,3
"AC103758.1",1,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,2,0
"AL161447.2",0,0,0,0,0,0,0,1,0,1,0,3,0,2,3,0,0,0,3,1
"AC102941.2",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,1
"AL139351.3",0,1,16,6,1,0,1,0,7,1,7,4,2,0,7,6,5,2,32,0
"AL137157.1",7,10,4,13,4,5,2,22,8,11,32,11,51,15,4,2,13,10,40,27
"AC005962.2",1,2,6,19,12,0,6,30,9,6,21,33,6,18,43,2,4,11,0,7
"AL929091.1",11,7,2,11,13,9,9,10,5,15,22,22,4,8,22,8,96,21,19,4
"AC079949.6",0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,1,0,4,0
"AC007222.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC188616.1",8,9,19,15,10,7,1,18,16,6,3,8,1,28,0,13,7,3,1,6
"AL022397.1",0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,4,0,66,0
"AC079304.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"AC183088.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL132712.2",14,12,17,27,10,8,16,24,21,16,18,145,29,65,140,208,308,41,7,29
"AL133405.2",0,1,0,1,1,0,0,0,1,0,3,1,0,0,0,1,0,1,1,0
"AC099535.2",0,0,1,9,9,1,1,9,1,1,3,0,0,0,3,0,0,1,85,2
"AC108477.2",0,0,0,1,1,0,0,0,0,0,1,7,0,0,27,0,1,1,0,2
"AL137786.2",0,0,0,1,0,0,0,10,0,0,0,0,0,0,1,1,0,0,5,0
"AC092120.3",2,0,2,3,0,0,1,1,3,0,6,1,0,1,4,2,2,0,364,1
"AC011029.1",9,0,1,1,2,1,2,0,0,1,0,52,17,14,2,181,24,1,8,0
"AC135776.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL034351.4",0,0,1,0,0,0,0,0,0,0,3,17,1,11,2,0,6,0,26,0
"AL451123.2",1,2,3,0,0,0,0,1,3,1,2,1,1,0,0,2,1,0,200,1
"AL590822.3",20,58,43,64,40,14,34,150,36,36,91,67,2,37,246,146,96,51,1,45
"AL512484.1",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0
"AL096706.1",3,4,3,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0
"AL138740.1",0,0,0,0,0,0,0,1,1,0,5,5,0,0,0,5,1,1,4,1
"AC006296.3",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"AL355537.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AC103563.9",3,0,3,2,2,0,1,3,1,2,3,4,0,2,0,6,8,4,10,1
"AL096814.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL353709.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"AC068787.4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AC072026.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC016583.2",22,4,32,18,3,10,9,8,36,12,29,35,7,0,5,28,2,12,52,13
"AL589645.1",0,1,0,4,0,0,0,0,1,1,2,3,9,0,1,0,2,0,0,0
"AC111197.1",3,2,3,5,0,1,2,1,3,10,7,2,0,0,4,3,0,10,3,2
"AL356317.1",0,2,0,2,1,0,2,2,0,1,3,0,0,2,0,0,3,0,0,3
"AL627316.1",0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,23,0
"AL122014.1",0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11,0
"AC239860.4",3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"AC098825.1",0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,5,0
"AL359538.3",2,0,2,3,1,0,2,0,0,0,1,2,0,0,40,0,3,0,6,0
"AC090948.4",3,1,3,5,1,2,1,5,5,0,8,2,3,1,3,5,7,4,51,4
"AC129803.1",8,1,5,4,1,1,1,3,1,1,4,1,2,0,4,1,1,1,122,0
"AC006144.2",1,0,0,0,0,0,0,0,0,0,2,2,2,1,2,1,4,0,2,1
"AL589935.3",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0
"AC012433.2",0,1,2,2,0,1,1,0,0,1,0,1,1,3,0,0,0,2,4,0
"AC110611.2",48,49,81,122,52,69,61,53,39,183,22,22,7,16,32,24,34,23,49,23
"AC110809.1",0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,1,1,6,1,6
"AL096840.2",0,0,1,0,1,0,0,1,0,0,3,5,0,0,2,2,2,1,2,0
"AL121820.3",4,5,13,16,12,4,2,23,25,3,23,39,23,0,27,13,7,16,6,25
"AC009248.3",0,1,1,2,0,1,0,2,0,0,1,1,0,0,1,1,0,0,7,0
"AC010883.3",10,3,5,8,2,3,6,15,7,5,20,15,12,7,17,7,16,12,97,2
"AC068774.1",1,0,0,0,1,0,0,0,0,0,0,28,0,0,0,271,1,0,0,0
"AC007106.2",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0
"AC006525.1",0,0,0,0,0,0,0,0,0,0,45,14,0,30,5,36,56,13,55,1
"AC103871.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0
"AC097520.2",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0
"AL591468.1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"AC244102.4",0,0,0,0,0,0,0,0,0,0,0,200,0,1,37,0,0,0,0,0
"AL118511.3",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"AL592464.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
"AP002528.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,21,0
"AC117481.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"AC011503.4",1,1,2,0,1,0,1,3,0,0,1,3,2,1,0,0,0,0,6,0
"AC093151.7",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,15,0
"AC034139.1",30,23,26,57,21,15,31,72,16,28,130,63,16,2,47,17,48,21,13,47
"AL158167.1",1,3,4,4,0,0,1,2,2,3,8,5,3,8,7,3,2,0,5,0
"AC016245.2",1,1,0,0,0,2,2,0,0,0,5,0,0,0,1,1,4,4,61,0
"AL451080.1",1,0,5,1,2,1,1,4,0,0,0,1,2,4,2,0,1,2,0,3
"AC017028.2",1,1,1,2,1,1,3,5,3,1,6,1,5,0,5,6,6,6,109,3
"AC098656.1",0,9,3,0,5,0,0,1,0,5,4,50,0,1,1,56,0,0,7,26
"AL596442.3",0,0,2,0,0,0,0,0,0,4,1,89,0,0,39,1,2,0,1,0
"AC027811.1",1,1,0,2,2,5,1,7,1,0,10,6,5,5,17,13,19,2,140,1
"AC004936.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AL161941.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
"AL031259.1",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"AP001591.1",0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,1,0
"AL449363.2",0,2,1,3,3,1,1,8,1,0,2,0,0,0,2,1,1,2,9,1
"AC093787.2",4,1,1,10,2,2,2,2,0,3,3,3,22,2,0,0,1,1,3,1
"AC099541.2",0,0,0,4,0,1,1,2,1,1,1,4,0,1,1,1,3,7,6,4
"AC093746.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"AC006059.4",0,1,1,2,2,0,0,4,0,0,3,3,0,0,1,0,0,0,4,0
"AC013439.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"AL121929.3",15,20,16,25,21,5,12,83,9,3,54,11,16,1,71,6,15,13,5,14
"AL590068.4",2,1,0,0,2,0,0,1,3,0,13,0,2,20,0,17,16,1,0,0
"AC131237.1",25,6,8,10,0,9,2,9,13,10,3,5,0,0,2,2,1,0,12,1
"AL442071.2",0,0,1,1,0,0,2,6,2,0,2,5,0,1,3,1,6,0,183,2
"AL360006.1",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"AC080079.2",0,0,0,4,1,0,0,0,1,0,365,0,2,0,0,0,0,1,41,1
"AP003717.4",0,1,2,2,0,1,1,5,1,3,3,6,2,1,7,2,7,1,1,1
"AP003327.2",0,0,0,0,1,0,0,0,0,0,2,13,0,4,140,115,4,0,2,0
"AL390236.1",9,3,4,4,4,1,3,11,1,2,12,1,4,0,0,27,2,3,153,2
"AL139280.2",1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1
"AC009121.4",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0
"AL136090.2",6,3,10,12,9,6,5,13,1,4,1,50,3,6,28,641,115,7,9,26
"AC027601.5",16,7,27,38,2,5,4,25,21,7,293,156,28,70,220,86,150,54,65,34
"AC244035.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC107222.2",1,1,2,5,0,1,0,0,0,2,11,1,0,2,0,1,0,2,2,15
"AC109133.1",0,0,1,1,0,2,0,3,0,0,0,1,0,0,1,0,0,0,5,0
"AC069404.1",0,0,0,9,2,1,0,4,1,0,2,0,0,0,7,0,0,3,6,4
"AL161662.1",0,1,0,6,2,0,4,5,0,0,1,4,1,0,3,2,8,7,51,0
"AL356313.1",0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,6,0
"AC092078.3",3,10,10,8,30,8,2,15,77,7,1,2,5,10,0,1,0,1,15,5
"AC063919.2",1,1,1,1,3,0,2,1,5,3,1,2,0,5,0,0,0,0,2,0
"AC131956.3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"AC079460.2",0,0,0,1,0,0,0,0,0,0,4,15,8,77,21,4,1,1,5,0
"AL357558.3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC007610.5",1,1,0,0,0,0,1,3,0,0,2,0,0,0,1,0,0,0,1,0
"AC092803.3",3,4,7,18,10,1,1,16,6,6,31,27,32,58,201,19,50,22,17,14
"AC007731.5",1,0,1,0,0,0,0,0,1,3,6,0,0,0,0,34,57,0,6,4
"AC099501.1",0,2,0,3,2,2,1,1,3,1,5,2,1,1,2,3,1,3,157,1
"AC018558.7",0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0
"AC108019.2",1,0,0,1,0,0,0,1,0,0,5,1,3,2,0,0,1,0,1,0
"AL117352.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AC016721.1",0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,3,4,0
"AL391477.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"AL359894.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"AC008149.2",6,4,1,4,2,8,6,6,3,1,14,6,9,4,9,11,5,6,338,1
"AC092793.1",0,0,0,0,0,0,1,0,0,0,5,1,4,2,0,0,2,0,22,0
"AL157369.1",0,0,1,1,0,2,1,3,0,0,2,6,0,0,5,5,4,3,17,4
"AC005821.2",0,1,0,2,1,0,0,4,0,0,5,10,16,4,7,3,12,10,39,13
"AL033519.5",7,3,1,6,2,4,4,1,5,1,5,3,0,0,0,3,0,10,835,9
"AL512356.5",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0
"AL442636.1",0,0,0,0,0,0,2,1,0,1,27,118,0,5,0,0,31,0,5,0
"AC068442.1",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"AC110620.2",33,18,11,18,21,11,9,25,22,34,19,21,4,50,129,12,16,16,3,20
"AC100810.7",2,3,3,18,1,0,0,1,2,1,3,2,1,0,4,0,9,2,6,1
"AL358053.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AL355531.1",0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,2,1,121,0
"AC037459.4",22,8,14,24,12,6,14,27,19,7,16,29,1,5,16,9,22,14,20,12
"AC007317.2",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AC044798.3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11,0
"AP001037.1",30,11,15,20,25,19,8,11,12,50,2,2,2,1,2,11,1,3,36,4
"AC138854.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL591504.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0
"AL359382.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC110614.1",1,0,0,3,1,0,0,0,0,2,3,0,1,0,0,1,0,1,5,0
"AL844892.2",1,2,1,7,0,1,0,1,2,4,2,4,1,0,8,1,2,3,6,1
"AC018437.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL356495.1",2,6,10,13,1,6,4,3,1,6,1,0,0,0,0,4,0,3,12,0
"AL109829.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0
"AP001330.5",1,1,1,2,0,0,0,3,1,0,0,0,0,0,19,0,0,0,4,0
"AL158832.2",0,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,1,3,5,2
"AL161663.1",1,6,3,16,6,3,1,11,3,7,4,1,0,2,2,0,1,2,3,0
"AC124312.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL132775.2",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,1,6,1
"AC068580.5",3,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,0
"AL451166.1",0,3,1,2,1,0,0,0,0,0,39,10,2,0,6,14,11,1,9,3
"AC114291.1",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,34,0
"AC104633.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"AC073048.1",0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,3,0
"AC004549.1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,0
"AC015818.9",0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
"AL512358.2",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0
"AC069503.5",0,0,0,0,0,0,0,1,0,0,2,3,0,1,2,0,1,1,1,0
"AC069368.2",4,2,3,3,1,2,1,2,1,3,5,12,0,0,0,2,7,7,17,1
"AL356489.4",0,0,0,0,0,1,0,0,0,1,3,1,0,3,5,0,1,1,2,0
"AC093227.3",3,4,3,10,7,5,4,13,6,2,12,13,8,8,5,22,2,9,33,7
"AL031123.4",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"AC007749.2",1,0,0,3,0,0,0,1,0,0,28,25,0,0,0,24,8,0,3,0
"AL357139.2",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,4,0
"AC009754.2",1,0,1,10,7,0,0,14,4,0,8,12,1,5,13,1,2,3,26,10
"AL163872.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"AC092418.2",1,1,1,4,2,0,0,4,1,1,2,3,0,8,4,3,4,0,1,0
"AC027243.3",1,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,21,1
"AC079340.3",0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,3,6
"AC087428.1",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,10,0
"AC026620.2",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
"AP001053.1",5,14,4,4,22,2,3,69,6,0,1,11,2,6,22,7,7,2,82,6
"AC009560.4",2,2,1,2,0,3,0,1,1,1,1,3,0,2,2,2,0,2,19,1
"AP001033.3",0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,1,0,14,0
"AL137857.1",0,1,1,0,2,0,1,0,0,0,0,1,0,0,2,0,0,1,3,1
"AL109984.1",1,0,3,5,0,0,0,0,0,0,6,7,2,0,4,4,7,1,36,3
"AC019131.3",1,0,1,2,1,0,0,1,0,0,0,0,3,5,4,0,0,0,0,0
"AL133390.1",2,1,1,3,2,1,3,6,1,0,15,12,0,42,5,15,6,3,3,0
"AL450267.2",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,7,0
"AL929602.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,0
"AL359764.2",1,0,0,0,0,1,2,0,4,0,1,4,10,3,1,139,137,1,28,0
"AC099654.12",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"AC100778.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0
"AC004921.2",0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,29,49,1,39,0
"AC093765.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
"AC034148.1",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
"AC138420.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
"AC003044.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"AC007736.1",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,0
"AL627308.3",0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,2,97,0
"AC016587.1",0,5,2,6,6,0,2,5,4,7,0,2,0,0,0,0,0,0,3,0
"AC005753.3",7,15,17,35,36,17,21,19,10,14,33,13,2,4,176,37,15,21,44,11
"AL121749.2",3,2,3,5,0,0,0,7,2,0,8,10,3,7,4,9,26,6,5,6
"AC068946.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
"AL445985.2",0,0,0,1,0,0,0,0,1,2,0,0,0,0,3,0,0,2,4,0
